genet,2016_E2B-20 Class name,2016_E2B-20 Object id,2016_E2B-20 Area,E2B_20_2018 Class name,E2B_20_2018 Object id,E2B_20_2018 Area,E2B_20_2020 Class name,E2B_20_2020 Object id,E2B_20_2020 Area,E2B_20_2022 Class name,E2B_20_2022 Object id,E2B_20_2022 Area
0,Pocillopora  ,0  ,260.67  ,Pocillopora  ,5  ,395.15  ,Pocillopora  Pocillopora  ,0  3  ,200.52  1.74  ,,,
1,Pocillopora  ,1  ,75.54  ,Pocillopora  ,2  ,54.23  ,Pocillopora  ,2  ,30.52  ,,,
2,Pocillopora  ,2  ,125.67  ,Pocillopora  Pocillopora  ,1  3  ,60.77  31.5  ,,,,,,
3,Pocillopora  ,3  ,60.85  ,Pocillopora  ,6  ,128.12  ,,,,,,
4,Pocillopora  ,4  ,29.95  ,Pocillopora  ,7  ,129.83  ,Pocillopora  Pocillopora  ,4  5  ,35.89  1.97  ,,,
5,Pocillopora  ,5  ,81.03  ,Pocillopora  ,10  ,135.44  ,Pocillopora  Pocillopora  Pocillopora  ,8  9  38  ,7.79  1.18  7.14  ,Pocillopora  ,7  ,16.31  
6,Pocillopora  ,6  ,169.45  ,Pocillopora  Pocillopora  Pocillopora  ,21  22  23  ,29.21  68.31  4.62  ,,,,,,
7,Pocillopora  ,8  ,19.39  ,,,,,,,,,
8,Pocillopora  ,9  ,17.89  ,,,,,,,,,
9,Pocillopora  ,10  ,30.49  ,,,,,,,,,
10,Acropora  ,11  ,64.83  ,Acropora  ,12  ,164.8  ,,,,,,
11,Pocillopora  Pocillopora  ,12  14  ,40.68  11.03  ,Pocillopora  ,9  ,81.56  ,Pocillopora  ,10  ,115.39  ,,,
12,Pocillopora  Pocillopora  ,13  15  ,15.52  22.53  ,Pocillopora  ,8  ,79.58  ,Pocillopora  ,7  ,158.59  ,,,
13,Pocillopora  ,16  ,88.86  ,Pocillopora  ,0  ,148.76  ,Pocillopora  ,1  ,188.35  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,0  1  3  4  5  ,1.23  1.07  2.92  1.36  6.88  
14,Acropora  ,17  ,47.77  ,,,,,,,,,
15,Pocillopora  ,18  ,144.14  ,Pocillopora  ,30  ,230.9  ,Pocillopora  ,13  ,14.92  ,,,
16,Pocillopora  ,19  ,99.01  ,,,,,,,,,
17,Pocillopora  ,20  ,21.81  ,Pocillopora  ,17  ,58.94  ,Pocillopora  ,12  ,96.08  ,Pocillopora  ,8  ,130.56  
18,Pocillopora  ,21  ,51.19  ,Pocillopora  ,18  ,67.38  ,Pocillopora  ,11  ,84.95  ,,,
19,Pocillopora  ,22  ,51.31  ,Pocillopora  ,19  ,37.53  ,,,,,,
20,Pocillopora  ,23  ,127.02  ,Pocillopora  ,20  ,397.74  ,,,,,,
21,Acropora  ,24  ,6.65  ,,,,,,,,,
22,Pocillopora  ,27  ,216.51  ,Pocillopora  ,24  ,384.2  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,24  27  28  29  33  ,91.43  42.55  252.98  10.6  86.01  ,Pocillopora  ,19  ,146.76  
23,Pocillopora  ,28  ,46.37  ,,,,,,,,,
24,Pocillopora  ,29  ,93.65  ,Pocillopora  ,27  ,178.01  ,Pocillopora  ,21  ,207.0  ,Pocillopora  ,17  ,17.75  
25,Pocillopora  Pocillopora  ,30  32  ,17.29  9.21  ,Pocillopora  ,26  ,30.98  ,Pocillopora  Pocillopora  Pocillopora  ,14  15  16  ,5.23  2.75  2.06  ,,,
26,Pocillopora  Pocillopora  ,31  38  ,41.28  9.1  ,Pocillopora  Pocillopora  ,28  29  ,17.57  12.78  ,Pocillopora  Pocillopora  Pocillopora  ,22  23  26  ,9.44  19.33  13.18  ,,,
27,Pocillopora  ,33  ,150.58  ,Pocillopora  ,35  ,287.13  ,Pocillopora  Pocillopora  ,19  20  ,193.19  165.42  ,Pocillopora  ,25  ,278.46  
28,Pocillopora  ,34  ,105.95  ,Pocillopora  ,31  ,233.6  ,Pocillopora  ,18  ,288.53  ,Pocillopora  Pocillopora  Pocillopora  ,14  15  16  ,0.78  4.57  1.61  
29,Pocillopora  ,36  ,19.71  ,,,,,,,,,
30,Pocillopora  ,37  ,12.49  ,,,,,,,,,
31,Pocillopora  ,39  ,50.38  ,Pocillopora  ,36  ,49.95  ,Pocillopora  ,31  ,108.14  ,Pocillopora  ,20  ,142.33  
32,Acropora  ,40  ,63.84  ,Acropora  ,38  ,105.72  ,,,,,,
33,Pocillopora  ,41  ,7.45  ,Pocillopora  ,37  ,51.25  ,Pocillopora  ,32  ,48.67  ,,,
34,Acropora  ,42  ,4.89  ,Acropora  ,25  ,54.66  ,Acropora  ,25  ,68.9  ,,,
35,,,,Pocillopora  ,32  ,26.99  ,Pocillopora  ,17  ,30.71  ,,,
36,,,,Acropora  ,33  ,6.85  ,,,,,,
37,,,,Pocillopora  ,34  ,3.49  ,,,,,,
38,,,,,,,Pocillopora  ,6  ,47.99  ,,,
39,,,,,,,Acropora  ,30  ,4.77  ,Acropora  ,21  ,10.98  
40,,,,,,,Pocillopora  ,34  ,7.37  ,Pocillopora  ,11  ,18.93  
41,,,,,,,Pocillopora  ,35  ,0.4  ,Pocillopora  ,12  ,3.94  
42,,,,,,,Pocillopora  ,36  ,1.6  ,,,
43,,,,,,,Pocillopora  ,37  ,3.8  ,Pocillopora  ,10  ,6.79  
44,,,,,,,Acropora  ,39  ,4.9  ,Acropora  ,6  ,10.73  
45,,,,,,,,,,Pocillopora  ,2  ,0.26  
